2020-02-27 23:51:45,406 ERROR    myPIC macro not initialized correctly.
2020-02-27 23:57:05,444 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:05,444 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:06,385 ERROR    Pause button not found.
2020-02-27 23:57:08,472 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:08,474 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:08,474 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:08,475 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:08,475 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:09,406 ERROR    Pause button not found.
2020-02-27 23:57:11,490 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:11,492 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:11,493 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:11,493 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:11,494 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:12,644 ERROR    Pause button not found.
2020-02-27 23:57:14,476 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:14,478 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:14,479 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:14,480 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:14,481 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:15,515 ERROR    Pause button not found.
2020-02-27 23:57:17,515 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:17,517 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:17,517 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:17,518 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:17,519 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:18,434 ERROR    Pause button not found.
2020-02-27 23:57:20,536 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:20,538 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:20,538 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:20,539 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:20,540 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:21,511 ERROR    Pause button not found.
2020-02-27 23:57:23,565 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:23,567 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:23,568 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:23,568 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:23,569 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:24,501 ERROR    Pause button not found.
2020-02-27 23:57:26,593 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:26,594 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:26,595 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:26,596 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:26,596 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:27,548 ERROR    Pause button not found.
2020-02-27 23:57:29,616 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:29,619 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:29,619 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:29,620 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:29,621 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:30,728 ERROR    Pause button not found.
2020-02-27 23:57:32,633 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:32,635 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:32,636 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:32,636 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:32,637 DEBUG    STREAM b'IDAT' 91 1502
